Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude_final,Longitude_final
1393,Caesars Entertainment,8.6,-1.5,28,2.1,USA,North America,42.9646,-78.8713
1394,Silver Wheaton,0.8,0.6,3.2,10.8,Canada,North America,42.1931,-82.9756
1395,Alfa Laval,4.6,0.5,5.1,9.9,Sweden,Europe,58.4167,14.1667
1395,Scana,4.2,0.4,14.6,6.6,USA,North America,41.8086,-88.3414
1397,Catamaran,9.9,0.1,7.4,10.7,USA,North America,38.1924,-84.8643
1398,Altera,1.8,0.6,4.7,11.2,USA,North America,41.0918,-75.1031
1399,Caltex Australia,24.2,0.1,5,6.2,Australia,Oceania,-26.5733,148.7869
1399,A2A,8.1,0.3,15.8,1.9,Italy,Europe,40.4333,18.05
1401,Dassault Syst̬mes,2.7,0.4,4.8,14.2,France,Europe,48.9294,2.0456
1401,TAQA,7.5,0.2,33.3,2.2,United Arab Emirates,Asia,25.0722,56.3344
1403,Taishin Financial Holdings,2.4,0.3,86.2,2.8,Taiwan,Asia,23.7789,120.3331
1403,SAIC,11.2,0.5,5.9,4.3,USA,North America,28.4727,-81.4169
1405,Millicom International,4.9,0.5,7.9,8.2,Luxembourg,Europe,49.6444,5.9397
1406,Taiwan Mobile,3.4,0.5,3.2,12,Taiwan,Asia,23.8483,120.3089
1406,Peabody Energy,8.1,-0.6,15.8,5.9,USA,North America,28.1967,-80.7387
1408,Fastenal,3.1,0.4,1.8,15.1,USA,North America,41.2431,-74.6258
1410,Bilfinger,11.2,0.4,8.8,4.9,Germany,Europe,51.3667,11.8333
1411,Vallourec,7,0.3,11.9,6.6,France,Europe,43.9425,4.9053
1412,Hellenic Telecom,6.2,0.6,10.7,3.7,Greece,Europe,37.9333,22.8
1413,Aurizon Holdings,3.6,0.5,10.3,9,Australia,Oceania,-38.0996,145.2834
1414,Rexam,7,0.3,9.9,6.3,UK,Europe,52.032,-1.147
1415,ADT,3.2,0.4,9.5,11.5,USA,North America,42.7382,-78.6373
1416,Bajaj Auto,3.7,0.6,2.2,9.9,India,Asia,23.7791,79.1432
1417,Roper Industries,3,0.5,7.1,12.3,USA,North America,40.2602,-76.9809
1418,Shanghai Construction,14.5,0.3,13.3,2.7,China,Asia,30.217,120.153
1419,China Merchants Holdings,1.4,0.5,10,8.6,Hong Kong,Asia,22.3674,114.1273
1420,Rock-Tenn,9.2,0.3,10.5,6.5,USA,North America,38.7268,-89.8977
1420,KLA-Tencor,3.1,0.7,5.1,8.7,USA,North America,39.9543,-77.5668
1422,Suzuken,22.5,0.1,11.8,3.1,Japan,Asia,35.4934,139.4452
1423,Cerner,2.7,0.4,3.7,16,USA,North America,38.5018,-90.3149
1424,First Pacific,6,0.3,13.9,5.3,Hong Kong,Asia,22.2377,114.1865
1425,Empire,17.4,0.4,15,16.9,Canada,North America,45.67,-73.88
1425,Semen Indonesia,2.1,0.5,2.8,11.2,Indonesia,Asia,-6.1314,106.38
1425,Oriental Land,4.4,0.4,7.5,13.3,Japan,Asia,35.9501,139.5742
1429,Rural Electrification,2.1,0.6,21.7,4.1,India,Asia,10.15,76.7333
1429,Exxaro Resources,1.5,1.2,4.9,6.4,South Africa,Africa,-29.831,30.925
1431,BYD,7.4,0,11,8.3,China,Asia,22.7542,111.7527
1431,Impala Platinum Holdings,3.4,0.5,8.9,9.3,South Africa,Africa,-29,29.8833
1431,Advanced Semiconductor,6.6,0.4,8.3,6.3,Taiwan,Asia,24.7833,121.0119
1434,Alliance Data Systems,3.6,0.4,12,7.9,USA,North America,38.0188,-79.0354
1435,Gold Fields,3.4,0.7,11.2,5.9,South Africa,Africa,-25.276,27.216
1436,Angang Steel,12.3,-0.7,16.2,4.1,China,Asia,42.0253,86.7034
1436,Denbury Resources,2.5,0.5,11.1,7,USA,North America,32.398,-94.8602
1438,First Financial Holdings,1.5,0.3,68.7,5.1,Taiwan,Asia,22.7044,120.5224
1438,Pioneer Natural Resources,3.2,0.2,13.1,17.3,USA,North America,38.571,-90.1525
1440,NYSE Euronext,3.7,0.3,12.6,9.2,USA,North America,38.2583,-122.0335
1441,Celesio,28.6,-0.2,10.5,3.2,Germany,Europe,49.3167,6.75
1442,KT&G,3.7,0.7,6.3,8.4,South Korea,Asia,37.3448,126.9683
1443,Shanxi Taigang Stainless,15.3,0.3,10.5,3.1,China,Asia,37.9842,106.1967
1444,Banco BPI,2.2,0.3,58.8,2,Portugal,Europe,41.5389,-6.9608
1444,Hanwha Corp,10.2,0.3,14.9,2.1,South Korea,Asia,37.4333,127
1446,Yang Quan Coal Industry,8,0.4,4.4,5.4,China,Asia,38.2242,110.4032
1447,Hengan International Group,2.4,0.5,3.8,11.9,China,Asia,22.4776,112.7289
1448,Petro Rabigh,16.5,0.1,12.7,4,Saudi Arabia,Asia,30.9753,41.0231
1448,Olam International,13.5,0.3,10.9,3.1,Singapore,Asia,1.3,103.9
1450,Petronas Gas,1.2,0.5,4.4,11.8,Malaysia,Asia,6.6626,100.3217
1451,Direct Line Insurance,6.1,0.3,18.8,4.7,UK,Europe,52.904,-1.177
1452,Meico Crown Entertainment,4.1,0.4,7.9,11.5,Hong Kong,Asia,22.3923,114.167
